Estación;Este;Norte
RNECHI S1 MI;4729592;2318710
RNECHI S1 MD;4729661;2318737
RNECHI S2 MI;4729600;2318656
RNECHI S2 MD;4729679;2318665
RNECHI S3 MI;4729568;2318607
RNECHI S3 MD;4729556;2318558
RPAJARITO S1 MI;4736629;2317753
RPAJARITO S1 MD;4736709;2317700
RPAJARITO S2 MI;4736604;2317730
RPAJARITO S2 MD;4736676;2317636
RPAJARITO S3 MI;4736551;2317698
RPAJARITO S3 MD;4736640;2317583
RPAJARITO S4 MI;4736479;2317612
RPAJARITO S4 MD;4736554;2317594
RDOLORES S1 MI;4739463;2315215
RDOLORES S1 MD;4739554;2315185
RDOLORES S2 MI;4739455;2315174
RDOLORES S2 MD;4739517;2315148
RDOLORES S3 MI;4739439;2315134
RDOLORES S3 MD;4739486;2315114
RTENCHE S1 MI;4747004;2312258
RTENCHE S1 MD;4747075;2312279
RTENCHE S2 MI;4747011;2312370
RTENCHE S2 MD;4747086;2312161
RTENCHE S3 MI;4746999;2312236
RTENCHE S3 MD;4747030;2312115
RTENCHE S4 MI;4746982;2312195
RTENCHE S4 MD;4746987;2312166
ELSALTO S1 MI;4753249;2308593
ELSALTO S1 MD;4753317;2308523
ELSALTO S2 MI;4752961;2308512
ELSALTO S2 MD;4753108;2308440
ELSALTO S3 MI;4752963;2308398
ELSALTO S3 MD;4752972;2308359
